code,station_name,latitude_deg,longitude_deg,mountpoint,ntrip_host,ntrip_port,data_format,constellation,ntrip_zone
BLSA,Bolsa Chica Channel,33.79954405111111,-118.02866778666666,BLSA_RTCM3,132.239.154.4,2105,RTCM 3.1,GPS+GLONASS,6
DESC,Descanso Detention,32.82991911555556,-116.6417891263889,DESC_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
DHLG,Durmid Hill,33.38980347472222,-115.78801702305556,DHLG_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
DSME,Dana Seguin Memorial Encinitas,33.036477956111106,-117.24952639777779,DSME_RTCM3,132.239.152.4,2105,RTCM 3.1,GNSS,6
FVPK,Fairview Park,33.66232776305555,-117.9357050875,FVPK_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
JAS1,Gillespie Field,32.82792050361112,-116.98807292583334,JAS1_RTCM3,132.239.152.4,2105,RTCM 3.1,GNSS,6
KYVW,Keys View,33.92536674972222,-116.17338279083334,KYVW_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
LBRF,Geisel Reference,32.88611962,-117.23028351,LBRF_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS,6
MJPK,Modjeska Peak,33.71448193416667,-117.55046111333333,MJPK_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
MONP,Monument Peak,32.89194057861111,-116.42234106805556,MONP_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
MVFD,Montezuma Valley Fire Dept.,33.21087273416667,-116.52530429722222,MVFD_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
NSSS,Naval Space Surveillance Station,32.57931584083334,-116.97267372694445,NSSS_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
OEOC,Orange Emergency Ops Center,33.765858844444445,-117.74412605277777,OEOC_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
PIN1,Pinyon 1,33.6121551175,-116.458149785,PIN1_RTCM3,132.239.152.4,2105,RTCM 3.1,GNSS,6
PIN2,Pinyon 2,33.61214703722222,-116.457607595,PIN2_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
PMOB,Palomar Observatory,33.35723991583333,-116.85953700194443,PMOB_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
POTR,Potrero Park,32.618411953333336,-116.59085426499999,POTR_RTCM3,132.239.152.4,2105,RTCM 3.1,GNSS,6
RAAP,Ramona Airport,33.04223579861111,-116.91723914388889,RAAP_RTCM3,132.239.152.4,2105,RTCM 3.4,GNSS,6
SACY,Santa Ana Corp. Yard,33.743245908333336,-117.89556868611112,SACY_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
SIO5,Scripps 5 - Mt. Soledad,32.84073532888889,-117.24968046722222,SIO5_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
TRAK,Bommer Canyon,33.617935869166665,-117.80342590472222,TRAK_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
WHYT,Whiting Regional Wilderness Park,33.67449121,-117.643448155,WHYT_RTCM3,132.239.152.4,2105,RTCM 3.1,GPS+GLONASS,6
GLRS,GLRS_SCGN_CS1999,33.274808640277776,-115.52135900583333,GLRS_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
GMPK,GMPK_SCGN_CS2000,33.051081529166666,-114.82733237666666,GMPK_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P066,JacumbaAp_CS2004,32.61652482444445,-116.16977889583333,P066_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P471,SanJuanCrkCS2005,33.562125117777775,-117.54085585166666,P471_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P472,CampElliotCS2004,32.88920938277778,-117.10468591749999,P472_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P473,Jamacha_LFCS2004,32.733776319166665,-116.94950625,P473_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P478,ValleyCntrCS2004,33.23571502805556,-117.07158106333333,P478_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P480,Vallecito_CS2004,32.97599550583333,-116.3485261475,P480_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P482,LakHenshawCS2004,33.240178891111114,-116.67140283972223,P482_RTCM3,132.239.152.4,2105,RTCM 3.3,GPS+GLONASS,6
P483,JulianBin_CS2004,33.05916368888889,-116.56931592222222,P483_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P484,SkyOaksBFSCS2005,33.37559180888889,-116.62082775083333,P484_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P486,BorregoAirCS2004,33.2601905175,-116.32227591305555,P486_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P494,WestsideESCS2005,32.759653103611114,-115.73205581861112,P494_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P500,AllAmericnCS2005,32.69004371083333,-115.29991857638889,P500_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
P509,PansyLaterCS2005,32.890659715,-115.29390384722223,P509_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
SLMS,SLMS_SCGN_CS1999,33.29222596388889,-115.97783038555556,SLMS_RTCM3,132.239.154.4,2105,RTCM 3.3,GNSS,6
USGC,USGC_SCGN_CS1998,33.03006324111111,-116.08532497361111,USGC_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
CRRS,CRRS_SCGN_CS1998,33.069806346111115,-115.73503023583334,CRRS_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
ACSB,AlisoCreekCA2013,33.27426470638889,-117.44487986305556,ACSB_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
AR27,Area_27_CPCA2013,33.341848301666666,-117.32491944583333,AR27_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
AR53,Area_53_CPCA2013,33.38113509888889,-117.4764939575,AR53_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
AZRY,Anza Gravel Exca,33.54007211083333,-116.62968733555554,AZRY_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
BEMT,BEMT_SCGN_CS2001,34.000530995,-115.99817825972222,BEMT_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
BILL,Lake Skinner,33.57824334777778,-117.06459078472221,BILL_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
BLYT,Blythe,33.610411222222226,-114.7148381775,BLYT_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
BOMG,BOMBAY BEACH,33.36462596944445,-115.72969260666667,BOMG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
CACT,Cactus City Comm,33.65513272333333,-115.98993718083334,CACT_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
CASE,CaseSpgsFSCA2013,33.455350111111116,-117.40397223416667,CASE_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
CLBD,CarlCannonCA2011,33.135385893333336,-117.31096581944445,CLBD_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
COAG,Coachella GPS,32.86346109416667,-115.12333313833332,COAG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
COKG,Cooks Ranch,32.85051171194445,-115.7284895111111,COKG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
DLUZ,DLuzHeightCA2011,33.43058706916666,-117.30720985083333,DLUZ_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
ELSG,Elsinore 2 GPS,33.64914075222222,-117.42600966138889,ELSG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
ERRG,Elmore's Ranch G,33.11644388277778,-115.82272057361111,ERRG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
FSHB,Fort Scotty Hub,32.94498727083333,-115.79992997222222,FSHB_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
HMTG,Diamond Valley R,33.708095703888894,-117.00149114666667,HMTG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
IDOG,Indio Hills,33.796795499999995,-116.22150144777778,IDOG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
LGWD,LagunaWoodCA2011,33.64059578083333,-117.76443981527778,LGWD_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
LMHG,Lake Mathews Hil,33.74419979611111,-117.39127275527778,LMHG_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
MAT2,MAT2_SCGN_CS2000,33.85676069972222,-117.43668901583334,MAT2_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
MLFP,MLFP_SCGN_CS1998,33.91840357583333,-117.31794834916666,MLFP_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
MSOB,Mountain Skies Observatory,34.23084304666667,-117.21011443166667,MSOB_RTCM3,132.239.152.4,2105,RTCM 3.3,GNSS,6
